fips,Geographic.Area.Name,Total,Total.Urban,Total.Urban.Inside.urbanized.areas,Total.Urban.Inside.urban.clusters,Total.Rural,Total.undefined
8105,"Rio Grande County, Colorado",11982,4489,0,4489,7493,0
8107,"Routt County, Colorado",23509,12888,0,12888,10621,0
8109,"Saguache County, Colorado",6108,0,0,0,6108,0
8111,"San Juan County, Colorado",699,0,0,0,699,0
8113,"San Miguel County, Colorado",7359,0,0,0,7359,0
8115,"Sedgwick County, Colorado",2379,0,0,0,2379,0
8117,"Summit County, Colorado",27994,22530,0,22530,5464,0
8119,"Teller County, Colorado",23350,8732,0,8732,14618,0
8121,"Washington County, Colorado",4814,0,0,0,4814,0
8123,"Weld County, Colorado",252825,201097,145693,55404,51728,0
8125,"Yuma County, Colorado",10043,3524,0,3524,6519,0
9001,"Fairfield County, Connecticut",916829,874801,874801,0,42028,0
9003,"Hartford County, Connecticut",894014,845660,845593,67,48354,0
9005,"Litchfield County, Connecticut",189927,111205,65861,45344,78722,0
9007,"Middlesex County, Connecticut",165676,125019,112598,12421,40657,0
9009,"New Haven County, Connecticut",862477,831083,831083,0,31394,0
9011,"New London County, Connecticut",274055,203326,188041,15285,70729,0
9013,"Tolland County, Connecticut",152691,94351,81075,13276,58340,0
9015,"Windham County, Connecticut",118428,59497,32928,26569,58931,0
10001,"Kent County, Delaware",162310,118536,108113,10423,43774,0
10003,"New Castle County, Delaware",538479,513696,484281,29415,24783,0
10005,"Sussex County, Delaware",197145,115717,24588,91129,81428,0
11001,"District of Columbia, District of Columbia",601723,601723,601723,0,0,0
12001,"Alachua County, Florida",247336,194917,187781,7136,52419,0
12003,"Baker County, Florida",27115,10984,0,10984,16131,0
12005,"Bay County, Florida",168852,148590,142773,5817,20262,0
12007,"Bradford County, Florida",28520,6979,0,6979,21541,0
12009,"Brevard County, Florida",543376,515803,515803,0,27573,0
12011,"Broward County, Florida",1748066,1747770,1747770,0,296,0
12013,"Calhoun County, Florida",14625,4751,0,4751,9874,0
12015,"Charlotte County, Florida",159978,145765,144528,1237,14213,0
12017,"Citrus County, Florida",141236,92483,79279,13204,48753,0
12019,"Clay County, Florida",190865,162295,157054,5241,28570,0
12021,"Collier County, Florida",321520,294236,259499,34737,27284,0
12023,"Columbia County, Florida",67531,25623,0,25623,41908,0
12027,"DeSoto County, Florida",34862,18741,1251,17490,16121,0
12029,"Dixie County, Florida",16422,3773,0,3773,12649,0
12031,"Duval County, Florida",864263,839100,839100,0,25163,0
12033,"Escambia County, Florida",297619,272910,270140,2770,24709,0
12035,"Flagler County, Florida",95696,85819,85819,0,9877,0
12037,"Franklin County, Florida",11549,3691,0,3691,7858,0
12039,"Gadsden County, Florida",46389,16060,622,15438,30329,0
12041,"Gilchrist County, Florida",16939,2724,0,2724,14215,0
12043,"Glades County, Florida",12884,3783,0,3783,9101,0
12045,"Gulf County, Florida",15863,3635,0,3635,12228,0
12047,"Hamilton County, Florida",14799,5404,0,5404,9395,0
12049,"Hardee County, Florida",27731,14473,0,14473,13258,0
12051,"Hendry County, Florida",39140,24309,0,24309,14831,0
12053,"Hernando County, Florida",172778,139302,136347,2955,33476,0
12055,"Highlands County, Florida",98786,77976,61625,16351,20810,0
12057,"Hillsborough County, Florida",1229226,1186045,1186045,0,43181,0
12059,"Holmes County, Florida",19927,4230,0,4230,15697,0
12061,"Indian River County, Florida",138028,131171,125877,5294,6857,0
12063,"Jackson County, Florida",49746,12256,0,12256,37490,0
12065,"Jefferson County, Florida",14761,0,0,0,14761,0
12067,"Lafayette County, Florida",8870,0,0,0,8870,0
12069,"Lake County, Florida",297052,239858,228744,11114,57194,0
12071,"Lee County, Florida",618754,582741,580917,1824,36013,0
12073,"Leon County, Florida",275487,241576,239601,1975,33911,0
12075,"Levy County, Florida",40801,3244,0,3244,37557,0
12077,"Liberty County, Florida",8365,0,0,0,8365,0
12079,"Madison County, Florida",19224,3843,0,3843,15381,0
12081,"Manatee County, Florida",322833,304140,304140,0,18693,0
12083,"Marion County, Florida",331298,228502,202696,25806,102796,0
12085,"Martin County, Florida",146318,133915,127412,6503,12403,0
12086,"Miami-Dade County, Florida",2496435,2486340,2486340,0,10095,0
12087,"Monroe County, Florida",73090,66721,0,66721,6369,0
12089,"Nassau County, Florida",73314,38016,0,38016,35298,0
12091,"Okaloosa County, Florida",180822,158944,126512,32432,21878,0
12093,"Okeechobee County, Florida",39996,25378,0,25378,14618,0
12095,"Orange County, Florida",1145956,1122554,1116558,5996,23402,0
12097,"Osceola County, Florida",268685,247671,216248,31423,21014,0
12099,"Palm Beach County, Florida",1320134,1306371,1263360,43011,13763,0
12101,"Pasco County, Florida",464697,420707,420691,16,43990,0
12103,"Pinellas County, Florida",916542,913939,913939,0,2603,0
12105,"Polk County, Florida",602095,520749,463462,57287,81346,0
12107,"Putnam County, Florida",74364,32599,0,32599,41765,0
12109,"St. Johns County, Florida",190039,144860,138238,6622,45179,0
12111,"St. Lucie County, Florida",277789,268463,268463,0,9326,0
12113,"Santa Rosa County, Florida",151372,119600,119600,0,31772,0
12115,"Sarasota County, Florida",379448,363054,363054,0,16394,0
12117,"Seminole County, Florida",422718,409370,409370,0,13348,0
12119,"Sumter County, Florida",93420,60756,53891,6865,32664,0
12121,"Suwannee County, Florida",41551,6994,0,6994,34557,0
12123,"Taylor County, Florida",22570,6933,0,6933,15637,0
12125,"Union County, Florida",15535,5057,0,5057,10478,0
12127,"Volusia County, Florida",494593,445414,445414,0,49179,0
12129,"Wakulla County, Florida",30776,11794,0,11794,18982,0
12131,"Walton County, Florida",55043,20297,9973,10324,34746,0
12133,"Washington County, Florida",24896,3846,0,3846,21050,0
13001,"Appling County, Georgia",18236,5208,0,5208,13028,0
13003,"Atkinson County, Georgia",8375,0,0,0,8375,0
13005,"Bacon County, Georgia",11096,3408,0,3408,7688,0
13007,"Baker County, Georgia",3451,0,0,0,3451,0
13009,"Baldwin County, Georgia",45720,29654,0,29654,16066,0
13011,"Banks County, Georgia",18395,1135,0,1135,17260,0
13013,"Barrow County, Georgia",69367,48514,11577,36937,20853,0
13015,"Bartow County, Georgia",100157,64874,60114,4760,35283,0
13017,"Ben Hill County, Georgia",17634,11638,0,11638,5996,0
13019,"Berrien County, Georgia",19286,4601,0,4601,14685,0
13021,"Bibb County, Georgia",155547,133132,133132,0,22415,0
13023,"Bleckley County, Georgia",13063,6324,0,6324,6739,0
13025,"Brantley County, Georgia",18411,102,0,102,18309,0
13027,"Brooks County, Georgia",16243,4704,935,3769,11539,0
13029,"Bryan County, Georgia",30233,14408,9240,5168,15825,0
13031,"Bulloch County, Georgia",70217,36314,0,36314,33903,0
13033,"Burke County, Georgia",23316,5830,0,5830,17486,0
13035,"Butts County, Georgia",23655,5218,0,5218,18437,0
13037,"Calhoun County, Georgia",6694,0,0,0,6694,0
13039,"Camden County, Georgia",50513,34630,0,34630,15883,0
13043,"Candler County, Georgia",10998,3633,0,3633,7365,0
13045,"Carroll County, Georgia",110527,64299,21427,42872,46228,0
13047,"Catoosa County, Georgia",63942,45973,45973,0,17969,0
13049,"Charlton County, Georgia",12171,5961,0,5961,6210,0
13051,"Chatham County, Georgia",265128,253184,249982,3202,11944,0
13053,"Chattahoochee County, Georgia",11267,7941,7941,0,3326,0
13055,"Chattooga County, Georgia",26015,11041,0,11041,14974,0
13057,"Cherokee County, Georgia",214346,177687,175603,2084,36659,0
13059,"Clarke County, Georgia",116714,109875,109875,0,6839,0
13061,"Clay County, Georgia",3183,0,0,0,3183,0
13063,"Clayton County, Georgia",259424,257121,257121,0,2303,0
13065,"Clinch County, Georgia",6798,2690,0,2690,4108,0
13067,"Cobb County, Georgia",688078,686384,686384,0,1694,0
13069,"Coffee County, Georgia",42356,14154,0,14154,28202,0
13071,"Colquitt County, Georgia",45498,18677,0,18677,26821,0
13073,"Columbia County, Georgia",124053,103922,101217,2705,20131,0
13075,"Cook County, Georgia",17212,6986,0,6986,10226,0
13077,"Coweta County, Georgia",127317,85388,82817,2571,41929,0
13079,"Crawford County, Georgia",12630,0,0,0,12630,0
13081,"Crisp County, Georgia",23439,12416,0,12416,11023,0
13083,"Dade County, Georgia",16633,4636,1786,2850,11997,0
13085,"Dawson County, Georgia",22330,4397,4397,0,17933,0
13087,"Decatur County, Georgia",27842,12118,0,12118,15724,0
13089,"DeKalb County, Georgia",691893,690073,690073,0,1820,0
13091,"Dodge County, Georgia",21796,6053,0,6053,15743,0
13093,"Dooly County, Georgia",14918,6912,0,6912,8006,0
13095,"Dougherty County, Georgia",94565,81364,81364,0,13201,0
13097,"Douglas County, Georgia",132403,111540,111540,0,20863,0
13099,"Early County, Georgia",11008,3748,0,3748,7260,0
13101,"Echols County, Georgia",4034,0,0,0,4034,0
13103,"Effingham County, Georgia",52250,17215,1455,15760,35035,0
13105,"Elbert County, Georgia",20166,5925,0,5925,14241,0
13107,"Emanuel County, Georgia",22598,7484,0,7484,15114,0
13109,"Evans County, Georgia",11000,4259,0,4259,6741,0
