fips,med.surg.beds,ped.med.surg.bed,icu.beds,nicu.beds,ped.icu.beds,calc.tot.beds,lisc.beds,tot.staffed.facility.beds,tot.staffed.hosp.beds,facility.inpatient.days,hosp.inpatiend.days
45053,21,0,4,0,0,35,41,35,0,9411,0
45045,718,90,125,12,12,1656,1856,1656,0,404625,0
45047,164,14,20,7,0,376,412,376,42,69297,10436
45013,162,9,24,0,0,316,290,316,0,63836,0
45055,60,0,10,0,0,110,121,110,0,17429,0
45023,30,0,6,0,0,36,82,36,0,2805,0
45031,83,16,12,0,0,146,188,146,0,27851,0
45033,18,6,4,0,0,34,79,34,0,7938,0
45037,25,0,0,0,0,25,25,25,0,3131,0
45077,86,0,15,0,0,115,164,115,0,17107,0
45005,25,0,0,0,0,69,69,69,25,13931,1720
45021,33,0,12,0,0,45,125,45,0,6530,0
45043,98,0,10,0,0,136,131,136,0,15201,0
45063,310,0,55,0,0,654,636,654,0,188491,0
45057,98,0,10,0,0,218,267,218,162,46082,28493
45027,36,0,6,0,0,49,59,49,0,9207,0
45025,26,0,6,0,0,40,59,40,0,8555,0
45071,37,0,7,0,0,54,90,54,0,6905,0
45073,65,0,12,0,0,256,289,256,136,59844,20353
45085,93,12,17,0,0,219,283,219,0,50214,0
45087,50,0,0,0,0,50,143,50,0,2352,0
45049,26,0,6,0,0,32,32,32,0,2572,0
45029,84,0,8,0,0,131,135,131,0,20609,0
13021,389,31,14,64,10,1075,637,1075,0,286880,0
13089,701,0,127,42,0,2548,1536,2548,0,722544,0
13075,48,0,0,0,0,155,155,155,60,35973,4568
13215,570,20,63,34,5,1168,1253,1168,0,234510,0
13139,382,18,50,4,0,887,917,887,635,263100,183014
13005,0,0,0,0,0,113,0,113,0,29914,0
13077,37,0,5,0,0,196,50,196,0,47779,0
13113,163,0,14,10,0,221,221,221,0,69189,0
13121,2114,0,330,152,0,4159,4770,4159,764,1125874,232131
13245,557,54,91,83,14,2336,2555,2336,0,626882,0
13261,0,0,0,0,0,44,0,44,0,10279,0
13051,237,20,30,0,0,1450,827,1450,469,396863,114717
13115,172,10,26,4,0,602,304,602,0,159232,0
13059,290,22,42,4,0,561,555,561,0,145704,0
13067,625,12,71,18,0,1302,1240,1302,0,367340,0
13063,0,0,0,0,0,406,0,406,0,120383,0
13135,322,0,38,16,0,1029,649,1029,480,301055,149914
13199,15,0,0,0,0,188,188,188,25,40723,4351
13087,0,0,0,0,0,80,0,80,0,20342,0
13001,0,0,0,0,0,150,0,150,0,43176,0
13099,0,0,0,0,0,152,0,152,0,35458,0
13111,0,0,0,0,0,50,0,50,0,6595,0
13143,23,0,0,0,0,23,25,23,0,5438,0
13127,196,10,12,0,0,633,578,633,254,173468,63071
13131,20,0,0,0,0,39,48,39,0,6141,0
13129,36,0,10,0,0,83,69,83,0,16585,0
13205,25,0,0,0,0,181,181,181,25,60888,6277
13179,0,0,0,0,0,62,0,62,0,7704,0
13057,85,0,15,0,0,122,118,122,0,44104,0
13045,117,12,18,0,0,278,313,278,0,73654,0
13015,0,0,0,0,0,80,0,80,0,16594,0
13213,12,0,0,0,0,12,42,12,0,1616,0
13233,25,0,0,0,0,25,25,25,0,8284,0
13241,0,0,0,0,0,25,0,25,0,2462,0
13109,0,0,0,0,0,10,0,10,0,1550,0
13023,0,0,0,0,0,25,0,25,0,3455,0
13157,0,0,0,0,0,307,0,307,0,82503,0
13201,0,0,0,0,0,192,0,192,0,64343,0
13081,49,0,16,0,0,316,316,316,73,61117,12042
13217,71,0,10,0,0,103,103,103,0,16959,0
13117,256,0,24,4,0,325,304,325,0,76255,0
13243,0,0,0,0,0,25,0,25,0,7583,0
13223,100,0,8,0,0,294,294,294,112,85070,25338
13313,145,10,22,4,0,227,282,227,0,40367,0
13095,287,24,26,15,0,461,691,461,0,100923,0
13137,41,0,4,0,0,137,137,137,53,34629,6744
13253,0,0,0,0,0,140,0,140,0,24101,0
13175,0,0,0,0,0,346,0,346,0,81981,0
13069,46,21,10,0,0,88,88,88,0,16278,0
13097,86,0,16,0,0,298,108,298,0,88878,0
13091,17,0,4,0,0,35,94,35,0,8118,0
13237,12,0,0,0,0,25,25,25,0,3607,0
13105,21,0,4,0,0,35,52,35,0,2710,0
13017,0,0,0,0,0,58,0,58,0,4866,0
13207,25,0,0,0,0,25,25,25,0,4796,0
13053,0,0,0,0,0,57,0,57,0,7593,0
13047,35,0,0,0,0,35,179,35,0,809,0
13225,0,0,0,0,0,25,0,25,0,2559,0
13133,25,0,0,0,0,25,25,25,0,4526,0
13255,103,8,16,0,0,160,160,160,0,38157,0
13235,0,0,0,0,0,57,0,57,0,7400,0
13161,11,0,4,0,0,25,25,25,0,2631,0
13281,15,0,3,0,0,150,140,150,38,44226,4627
13065,25,0,0,0,0,25,25,25,0,1057,0
